localmappingnumber,kf_id,track_frame_id,timestamp_ms,kf_insertion_ms,map_points_total,new_map_points,queue_length,kf_culled,mean_reprojection_error,max_reprojection_error,optimization_time_ms,ba_executed,ba_aborted,ba_iters,tracking_lost,source,event_type,timestamp,rel_time_s,map_id,tracking_state,imu_initialized,ba_type,num_opt_kf,num_fixed_kf,num_mappoints,num_edges,visual_chi2_before,visual_chi2_after,imu_chi2_before,imu_chi2_after,imu_chi2_mean,imu_chi2_max,imu_rot_res_mean,imu_vel_res_mean,imu_pos_res_mean,gyro_rw_chi2,acc_rw_chi2,bias_delta_norm,velocity_delta_norm,pose_correction_trans_norm,pose_correction_rot_deg,init_scale,init_bg_norm,init_ba_norm,init_prior_g,init_prior_a,init_full_ba
13,12,207,1778812583471,2.470,1489,1072,0,0,0.6833,8.2289,14.873,1,0,4,0,LocalMapping,LOCAL_BA,1403715534.262143,10.350000,0,OK,no,LocalBundleAdjustment,13,1,1489,3386,0.516247,0.351961,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.038281,0.809876,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
14,13,218,1778812584060,2.462,1822,1207,0,0,0.6417,8.3028,16.605,1,0,4,0,LocalMapping,LOCAL_BA,1403715534.812143,10.900000,0,OK,no,LocalBundleAdjustment,13,2,1822,3921,0.488406,0.374714,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.020375,0.393664,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
15,14,230,1778812584688,2.299,1987,1369,0,0,0.2727,6.2996,7.901,1,0,3,0,LocalMapping,LOCAL_BA,1403715535.412143,11.500000,0,OK,no,LocalBundleAdjustment,2,13,1404,2236,0.370132,0.221286,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.013274,0.336882,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
16,15,254,1778812585962,2.246,2067,1343,0,0,0.3225,6.2778,8.611,1,0,3,0,LocalMapping,LOCAL_BA,1403715536.612143,12.700000,0,OK,no,LocalBundleAdjustment,3,13,1485,2429,0.339712,0.223468,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.012794,0.268341,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
17,16,268,1778812586704,2.223,2024,1193,0,0,0.3990,6.3078,8.921,1,0,3,0,LocalMapping,LOCAL_BA,1403715537.312143,13.400000,0,OK,no,LocalBundleAdjustment,4,13,1443,2496,0.382054,0.243963,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.049603,0.538140,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
18,17,305,1778812588662,2.383,1963,1048,0,0,0.5406,6.4284,9.655,1,0,3,0,LocalMapping,LOCAL_BA,1403715539.162143,15.250000,0,OK,no,LocalBundleAdjustment,5,13,1382,2656,0.438618,0.308739,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.059066,0.657301,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
19,18,323,1778812589623,2.642,2129,1099,0,0,0.5288,8.2529,10.909,1,0,3,0,LocalMapping,LOCAL_BA,1403715540.062143,16.150000,0,OK,no,LocalBundleAdjustment,5,14,1548,2997,0.417883,0.313643,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.017880,0.201741,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
20,19,347,1778812590898,2.388,2048,969,0,0,0.5359,8.2169,7.961,1,0,3,0,LocalMapping,LOCAL_BA,1403715541.262143,17.350000,0,OK,no,LocalBundleAdjustment,4,14,1246,2232,0.470761,0.338467,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.013283,0.158259,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
21,20,351,1778812591114,2.255,2098,944,0,0,0.5987,8.2431,10.859,1,0,10,0,LocalMapping,LOCAL_BA,1403715541.462143,17.550000,0,OK,no,LocalBundleAdjustment,4,12,1186,2277,0.630010,0.427917,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.052950,0.524887,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
22,21,357,1778812591437,2.291,2150,961,0,0,0.6617,8.2480,11.629,1,0,8,0,LocalMapping,LOCAL_BA,1403715541.762143,17.850000,0,OK,no,LocalBundleAdjustment,5,12,1238,2589,0.703822,0.489747,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.032775,0.306467,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
