frame_id,timestamp_ms,kf_insertion_ms,map_points_total,new_map_points,queue_length
147,1775048911963,6.846,6166,292,0
148,1775048912168,6.008,6198,296,0
149,1775048912393,7.009,6238,318,0
150,1775048912596,6.230,6274,323,0
151,1775048912820,7.434,6284,300,0
152,1775048913105,6.828,6251,264,0
153,1775048913485,7.247,6283,223,0
154,1775048913881,6.757,6284,183,0
155,1775048914192,6.022,6291,187,0
156,1775048914733,6.904,6265,174,0
157,1775048915018,5.496,6339,228,0
158,1775048915217,4.459,6404,308,0
159,1775048915396,3.850,6498,388,0
160,1775048915544,3.522,6634,470,0
161,1775048915689,3.508,6728,505,0
162,1775048915800,3.040,6821,505,0
163,1775048915933,2.908,6908,462,0
164,1775048916059,3.082,6980,444,0
165,1775048916163,2.724,7060,423,0
166,1775048916265,2.972,7133,428,0
167,1775048916369,3.038,7148,365,0
168,1775048916424,2.935,7185,325,0
169,1775048916480,3.271,7243,346,0
170,1775048916532,3.148,7294,364,0
171,1775048916588,3.222,7332,358,0
172,1775048916644,3.347,7389,332,0
173,1775048916749,3.491,7390,289,0
174,1775048916855,4.462,7380,240,0
175,1775048916950,3.283,7420,238,0
176,1775048917011,4.234,7498,286,0
177,1775048917114,3.588,7545,329,0
178,1775048917224,3.743,7580,311,0
179,1775048917330,4.222,7628,330,0
180,1775048917438,4.732,7658,356,0
181,1775048917551,4.344,7673,332,0
182,1775048917657,4.760,7690,360,0
183,1775048917767,5.581,7701,389,0
184,1775048917895,5.709,7693,324,0
185,1775048918050,6.710,7681,292,0
186,1775048918261,5.584,7655,249,0
187,1775048918429,4.860,7703,289,0
188,1775048918725,5.457,7625,242,0
189,1775048918976,5.519,7635,298,0
190,1775048919220,5.789,7653,346,0
191,1775048919370,5.536,7676,365,0
192,1775048919502,5.737,7644,338,0
193,1775048919659,6.199,7662,353,0
194,1775048919858,6.017,7626,346,0
195,1775048920079,5.940,7626,362,0
196,1775048920224,6.694,7667,382,0
197,1775048920373,5.701,7664,394,0
198,1775048920518,5.485,7689,387,0
199,1775048920680,5.751,7711,431,0
200,1775048920847,7.445,7740,409,0
201,1775048920997,5.805,7756,428,0
202,1775048921152,5.384,7782,403,0
203,1775048921302,4.913,7854,451,0
204,1775048921505,4.858,7901,441,0
205,1775048921685,5.900,7926,446,0
206,1775048921851,6.079,7947,421,0
207,1775048922012,5.441,7976,396,0
208,1775048922142,5.187,8022,404,0
209,1775048922326,6.123,8044,394,0
210,1775048922536,6.689,8099,405,0
211,1775048922781,6.140,8117,376,0
212,1775048923005,6.278,8132,356,0
213,1775048923343,6.621,8145,355,0
214,1775048923710,6.699,8149,351,0
215,1775048924036,7.444,8115,292,0
216,1775048924368,6.475,8139,301,0
217,1775048924671,6.380,8145,307,0
218,1775048924991,6.965,8181,301,0
219,1775048925321,7.784,8177,297,0
220,1775048925678,7.002,8158,277,0
221,1775048926026,6.705,8161,245,0
222,1775048926335,6.950,8187,301,0
223,1775048926757,7.098,8216,356,0
224,1775048927082,7.109,8249,403,0
225,1775048927470,6.723,8242,383,0
226,1775048927747,6.465,8207,199,0
227,1775048928037,6.644,8267,250,0
228,1775048928373,7.069,8326,288,0
229,1775048928618,5.918,8353,295,0
230,1775048928769,3.647,8408,275,0
231,1775048928891,3.600,8541,354,0
232,1775048929044,2.788,8634,390,0
233,1775048929250,3.332,8721,421,0
234,1775048929402,3.806,8779,387,0
235,1775048929505,2.655,8838,350,0
236,1775048929556
